Gene_Ensembl_ID,GSM4282198_sh587,GSM4282199_shE,GSM4282200_shE,GSM4282201_sh587,GSM4282202_shE,GSM4282203_sh587,GSM4282204_sh587
ENSG00000135074,31.25114818463158,25.078152289987262,28.166458510499822,42.280074372350136,47.98713780285632,27.084957676720197,35.15423809095632
ENSG00000135083,42.780033721819144,45.223487833774584,48.45858033160161,45.27290507177264,44.85783011524259,50.65318964142889,48.42737079481911
ENSG00000135090,8.689427081441073,5.310879343536427,8.210347345902957,12.592715612400626,15.142666861249495,7.23910789840965,7.434158226426551
ENSG00000135093,8.80916328138219,7.975320505717414,6.165065088916455,11.451381871095434,9.454221954527924,10.735267962982492,8.547777070061299
ENSG00000135097,49.39973506142091,39.31851012299511,45.04003713063846,44.14425281648195,27.79249539507788,71.9386347404459,57.832935352545014
ENSG00000135108,63.682553197254165,68.75338377276479,74.24374592861001,67.31332776497736,80.00950248754768,62.51956821353788,63.1451982147486
ENSG00000135116,1.009205113789416,1.9803278908101931,3.3893248830062026,4.9838240036993415,6.417732715275617,0.8020602501078874,1.5199392325285055
ENSG00000135119,22.407774560409067,21.76560381808658,19.137998261802263,15.598227797837632,12.013359173635763,25.768756240645715,24.604956883010956
ENSG00000135124,8.928899481323308,5.922980691605032,4.645712555155054,8.11615104928137,6.470771828625002,8.123430738272194,8.577874876646021
ENSG00000135127,30.66957235634615,21.837615741388767,28.108021874585923,27.036928182918565,29.99361859907737,28.051543106337395,27.840471090868665
ENSG00000135144,6.482859968240486,9.379553010110095,9.218379315417732,5.275498182032892,6.6298891686731585,5.82007822514185,6.185099253160551
ENSG00000135148,48.698423033194366,62.776394138683116,59.24013965771617,42.96487461713326,46.31640573235069,57.89229753983854,49.571087445038586
ENSG00000135164,137.76505061796536,106.95570908457596,125.2881473994017,163.47703621294713,148.41669892991732,124.60725783086383,121.29416053643321
ENSG00000135185,20.936729818275342,18.345037461232607,16.932015256052537,17.259502465737416,16.495164251658817,20.092637547574512,16.80962497756773
ENSG00000135205,1.9499895418981938,0.9901639454050966,0.5697572001605254,3.0181936714515096,1.206639828698515,1.7275143848477574,1.640330458867397
ENSG00000135211,20.081471247267363,24.19600622953545,21.84069267282014,18.705191871390657,16.826658710092474,23.34200984288339,17.23099426975385
ENSG00000135213,39.358999437787226,35.60989607293238,35.368773886888,37.296250368650796,34.43564434208838,42.81767796729799,44.51465593880514
ENSG00000135241,25.657757130239393,20.811445834332574,20.701178272499092,33.66934536850319,28.601341873656004,19.434536829537272,21.158758029060184
ENSG00000135245,25.3156537018362,35.735916938711206,31.6288291883984,25.23615716885926,27.79249539507788,32.0207130619995,28.4123294159784
ENSG00000135248,3.1131411984690462,2.7904620279598173,1.8407540312878514,3.664949458191119,4.839819093131406,1.5424235578997834,2.7238514959174207
